cfg,seed,instance,pop,iteration,best_su,best_csr,best_placed
SEQ,1,350,30,283,60.9614,65.3333,75
SEQ,1,350,30,284,60.9614,65.3333,75
SEQ,1,350,30,285,60.9614,65.3333,75
SEQ,1,350,30,286,60.9614,65.3333,75
SEQ,1,350,30,287,60.9614,65.3333,75
SEQ,1,350,30,288,63.9073,65.4321,81
SEQ,1,350,30,289,63.9073,65.4321,81
SEQ,1,350,30,290,63.9073,65.4321,81
SEQ,1,350,30,291,63.9073,65.4321,81
SEQ,1,350,30,292,63.9073,65.4321,81
SEQ,1,350,30,293,63.9073,65.4321,81
SEQ,1,350,30,294,63.9073,65.4321,81
SEQ,1,350,30,295,67.0037,65.8537,82
SEQ,1,350,30,296,67.0037,65.8537,82
SEQ,1,350,30,297,67.0037,65.8537,82
SEQ,1,350,30,298,67.0037,65.8537,82
SEQ,1,350,30,299,67.0037,65.8537,82
SEQ,1,350,30,300,67.0037,65.8537,82
SEQ,1,350,30,301,67.0037,65.8537,82
SEQ,1,350,30,302,67.0037,65.8537,82
SEQ,1,350,30,303,67.0037,65.8537,82
SEQ,1,350,30,304,67.0037,65.8537,82
SEQ,1,350,30,305,67.0037,65.8537,82
SEQ,1,350,30,306,67.0037,65.8537,82
SEQ,1,350,30,307,67.0037,65.8537,82
SEQ,1,350,30,308,67.0037,65.8537,82
SEQ,1,350,30,309,67.0037,65.8537,82
SEQ,1,350,30,310,67.0037,65.8537,82
SEQ,1,350,30,311,67.0037,65.8537,82
SEQ,1,350,30,312,67.0037,65.8537,82
SEQ,1,350,30,313,67.0037,65.8537,82
SEQ,1,350,30,314,67.0037,65.8537,82
SEQ,1,350,30,315,67.0037,65.8537,82
SEQ,1,350,30,316,67.0037,65.8537,82
SEQ,1,350,30,317,67.0037,65.8537,82
SEQ,1,350,30,318,67.0037,65.8537,82
SEQ,1,350,30,319,67.0037,65.8537,82
SEQ,1,350,30,320,67.0037,65.8537,82
SEQ,1,350,30,321,67.0037,65.8537,82
SEQ,1,350,30,322,67.0037,65.8537,82
SEQ,1,350,30,323,67.0037,65.8537,82
SEQ,1,350,30,324,67.0037,65.8537,82
SEQ,1,350,30,325,67.0037,65.8537,82
SEQ,1,350,30,326,67.0037,65.8537,82
SEQ,1,350,30,327,67.0037,65.8537,82
SEQ,1,350,30,328,67.0037,65.8537,82
SEQ,1,350,30,329,67.0037,65.8537,82
SEQ,1,350,30,330,67.0037,65.8537,82
SEQ,1,350,30,331,67.0037,65.8537,82
SEQ,1,350,30,332,67.0037,65.8537,82
SEQ,1,350,30,333,67.0037,65.8537,82
SEQ,1,350,30,334,67.0037,65.8537,82
SEQ,1,350,30,335,67.0037,65.8537,82
SEQ,1,350,30,336,67.0037,65.8537,82
SEQ,1,350,30,337,67.0037,65.8537,82
SEQ,1,350,30,338,67.0037,65.8537,82
SEQ,1,350,30,339,67.0037,65.8537,82
SEQ,1,350,30,340,67.0037,65.8537,82
SEQ,1,350,30,341,67.0037,65.8537,82
SEQ,1,350,30,342,67.0037,65.8537,82
SEQ,1,350,30,343,67.0037,65.8537,82
SEQ,1,350,30,344,67.0037,65.8537,82
SEQ,1,350,30,345,67.0037,65.8537,82
SEQ,1,350,30,346,67.0037,65.8537,82
SEQ,1,350,30,347,67.0037,65.8537,82
SEQ,1,350,30,348,67.0037,65.8537,82
SEQ,1,350,30,349,67.0037,65.8537,82
SEQ,1,350,30,350,67.0037,65.8537,82
SEQ,1,350,30,351,67.0037,65.8537,82
SEQ,1,350,30,352,67.0037,65.8537,82
SEQ,1,350,30,353,67.0037,65.8537,82
SEQ,1,350,30,354,67.0037,65.8537,82
SEQ,1,350,30,355,67.0037,65.8537,82
SEQ,1,350,30,356,67.0037,65.8537,82
SEQ,1,350,30,357,67.0037,65.8537,82
SEQ,1,350,30,358,67.0037,65.8537,82
SEQ,1,350,30,359,67.0037,65.8537,82
SEQ,1,350,30,360,67.0037,65.8537,82
SEQ,1,350,30,361,67.0037,65.8537,82
SEQ,1,350,30,362,67.0037,65.8537,82
SEQ,1,350,30,363,67.0037,65.8537,82
SEQ,1,350,30,364,67.0037,65.8537,82
SEQ,1,350,30,365,67.0037,65.8537,82
SEQ,1,350,30,366,67.0037,65.8537,82
SEQ,1,350,30,367,67.0037,65.8537,82
SEQ,1,350,30,368,67.0037,65.8537,82
SEQ,1,350,30,369,67.0037,65.8537,82
SEQ,1,350,30,370,67.0037,65.8537,82
SEQ,1,350,30,371,67.0037,65.8537,82
SEQ,1,350,30,372,67.0037,65.8537,82
SEQ,1,350,30,373,67.0037,65.8537,82
SEQ,1,350,30,374,67.0037,65.8537,82
SEQ,1,350,30,375,67.0037,65.8537,82
SEQ,1,350,30,376,67.0037,65.8537,82
SEQ,1,350,30,377,67.0037,65.8537,82
SEQ,1,350,30,378,67.0037,65.8537,82
SEQ,1,350,30,379,67.0037,65.8537,82
SEQ,1,350,30,380,67.0037,65.8537,82
SEQ,1,350,30,381,67.0037,65.8537,82
SEQ,1,350,30,382,67.0037,65.8537,82
SEQ,1,350,30,383,67.0037,65.8537,82
SEQ,1,350,30,384,67.0037,65.8537,82
SEQ,1,350,30,385,67.0037,65.8537,82
SEQ,1,350,30,386,67.0037,65.8537,82
SEQ,1,350,30,387,67.0037,65.8537,82
SEQ,1,350,30,388,67.0037,65.8537,82
SEQ,1,350,30,389,67.0037,65.8537,82
SEQ,1,350,30,390,67.0037,65.8537,82
SEQ,1,350,30,391,67.0037,65.8537,82
