cfg,seed,instance,pop,iteration,best_su,best_csr,best_placed
DGWO,1,350,30,261,82.4477,58.0000,100
DGWO,1,350,30,262,82.4477,59.0000,100
DGWO,1,350,30,263,82.4477,59.0000,100
DGWO,1,350,30,264,82.4477,60.0000,100
DGWO,1,350,30,265,82.4477,59.0000,100
DGWO,1,350,30,266,82.4477,59.0000,100
DGWO,1,350,30,267,82.4477,59.0000,100
DGWO,1,350,30,268,82.4175,57.5758,99
DGWO,1,350,30,269,82.4477,61.0000,100
DGWO,1,350,30,270,82.4477,60.0000,100
DGWO,1,350,30,271,82.4477,61.0000,100
DGWO,1,350,30,272,82.4175,59.5960,99
DGWO,1,350,30,273,82.4175,60.6061,99
DGWO,1,350,30,274,82.4175,60.6061,99
DGWO,1,350,30,275,82.4477,60.0000,100
DGWO,1,350,30,276,82.4477,61.0000,100
DGWO,1,350,30,277,82.4175,62.6263,99
DGWO,1,350,30,278,82.4175,61.6162,99
DGWO,1,350,30,279,82.4477,62.0000,100
DGWO,1,350,30,280,82.4477,63.0000,100
DGWO,1,350,30,281,82.4477,62.0000,100
DGWO,1,350,30,282,82.4477,61.0000,100
DGWO,1,350,30,283,82.4477,61.0000,100
DGWO,1,350,30,284,82.4477,61.0000,100
DGWO,1,350,30,285,82.4477,61.0000,100
DGWO,1,350,30,286,82.4477,62.0000,100
DGWO,1,350,30,287,82.4477,60.0000,100
DGWO,1,350,30,288,82.4477,62.0000,100
DGWO,1,350,30,289,82.4477,60.0000,100
DGWO,1,350,30,290,82.4477,62.0000,100
DGWO,1,350,30,291,82.4477,60.0000,100
DGWO,1,350,30,292,82.4477,61.0000,100
DGWO,1,350,30,293,82.4477,61.0000,100
DGWO,1,350,30,294,82.4477,61.0000,100
DGWO,1,350,30,295,82.4477,62.0000,100
DGWO,1,350,30,296,82.4477,62.0000,100
DGWO,1,350,30,297,82.4477,63.0000,100
DGWO,1,350,30,298,82.4477,63.0000,100
DGWO,1,350,30,299,82.4477,63.0000,100
DGWO,1,350,30,300,82.4477,63.0000,100
DGWO,1,350,30,301,82.4477,63.0000,100
DGWO,1,350,30,302,82.4477,63.0000,100
DGWO,1,350,30,303,82.4477,64.0000,100
DGWO,1,350,30,304,82.4477,64.0000,100
DGWO,1,350,30,305,82.4477,62.0000,100
DGWO,1,350,30,306,82.4477,63.0000,100
DGWO,1,350,30,307,82.4477,63.0000,100
DGWO,1,350,30,308,82.4477,64.0000,100
DGWO,1,350,30,309,82.4477,63.0000,100
DGWO,1,350,30,310,82.4477,64.0000,100
DGWO,1,350,30,311,82.4477,63.0000,100
DGWO,1,350,30,312,82.4477,64.0000,100
DGWO,1,350,30,313,82.4477,64.0000,100
DGWO,1,350,30,314,82.4477,64.0000,100
DGWO,1,350,30,315,82.4477,64.0000,100
DGWO,1,350,30,316,82.4477,63.0000,100
DGWO,1,350,30,317,82.4477,64.0000,100
DGWO,1,350,30,318,82.4477,65.0000,100
DGWO,1,350,30,319,82.4477,65.0000,100
DGWO,1,350,30,320,82.4477,66.0000,100
DGWO,1,350,30,321,82.4477,66.0000,100
DGWO,1,350,30,322,82.4477,66.0000,100
DGWO,1,350,30,323,82.4477,65.0000,100
DGWO,1,350,30,324,82.4477,65.0000,100
DGWO,1,350,30,325,82.4477,66.0000,100
DGWO,1,350,30,326,82.4477,64.0000,100
DGWO,1,350,30,327,82.4477,66.0000,100
DGWO,1,350,30,328,82.4477,65.0000,100
DGWO,1,350,30,329,82.4477,66.0000,100
DGWO,1,350,30,330,82.4477,66.0000,100
DGWO,1,350,30,331,82.4477,65.0000,100
DGWO,1,350,30,332,82.4477,66.0000,100
DGWO,1,350,30,333,82.4477,67.0000,100
DGWO,1,350,30,334,82.4477,67.0000,100
DGWO,1,350,30,335,82.4477,67.0000,100
DGWO,1,350,30,336,82.4477,67.0000,100
DGWO,1,350,30,337,82.4477,67.0000,100
DGWO,1,350,30,338,82.4477,67.0000,100
DGWO,1,350,30,339,82.4477,67.0000,100
DGWO,1,350,30,340,82.4477,67.0000,100
DGWO,1,350,30,341,82.4477,67.0000,100
DGWO,1,350,30,342,82.4477,67.0000,100
DGWO,1,350,30,343,82.4477,67.0000,100
DGWO,1,350,30,344,82.4477,67.0000,100
DGWO,1,350,30,345,82.4477,67.0000,100
DGWO,1,350,30,346,82.4477,67.0000,100
DGWO,1,350,30,347,82.4477,67.0000,100
DGWO,1,350,30,348,82.4477,67.0000,100
DGWO,1,350,30,349,82.4477,67.0000,100
DGWO,1,350,30,350,82.4477,67.0000,100
DGWO,1,350,30,351,82.4477,67.0000,100
DGWO,1,350,30,352,82.4477,67.0000,100
DGWO,1,350,30,353,82.4477,67.0000,100
DGWO,1,350,30,354,82.4477,67.0000,100
DGWO,1,350,30,355,82.4477,67.0000,100
DGWO,1,350,30,356,82.4477,67.0000,100
DGWO,1,350,30,357,82.4477,67.0000,100
DGWO,1,350,30,358,82.4477,67.0000,100
DGWO,1,350,30,359,82.4477,67.0000,100
DGWO,1,350,30,360,82.4477,67.0000,100
